"Country or Area","Year","Value","Value Footnotes"
"Sao Tome and Principe","2006","80.7","11"
"Sao Tome and Principe","2003","76.4","218"
"Saudi Arabia","2008","97","162"
"Saudi Arabia","2004","96","43"
"Senegal","2014","59.1","78"
"Senegal","2013","50.5","179"
"Senegal","2011","65.1","219"
"Senegal","2005","51.9","36"
"Senegal","2002","58","9"
"Serbia","2014","98.4","105"
"Serbia","2010","99.7","63"
"Serbia","2007","99.2","7"
"Serbia","2006","99","8"
"Serbia","2004","98.7","7"
"Serbia","2003","98.5","7"
"Serbia","2002","98.1","9"
"Serbia","2001","98.2","7"
"Sierra Leone","2013","59.7","112"
"Sierra Leone","2010","62.5","63"
"Sierra Leone","2008","42.4","67"
"Sierra Leone","2005","43.2","8"
"Singapore","2004","99.7","158"
"Slovak Republic","2010","99.2","220"
"Slovak Republic","2009","99.5","77"
"Slovak Republic","2008","99.5","3"
"Slovak Republic","2007","99.2","17"
"Slovak Republic","2006","99.5","18"
"Slovak Republic","2005","99.5","19"
"Slovak Republic","2004","99.5","20"
"Slovak Republic","2002","99.4","9"
"Slovak Republic","2001","99.4","23"
"Slovenia","2010","99.9","109"
"Slovenia","2009","99.9","77"
"Slovenia","2008","99.9","52"
"Slovenia","2007","99.9","52"
"Slovenia","2006","99.9","52"
"Slovenia","2005","99.9","52"
"Slovenia","2004","99.8","52"
"Slovenia","2003","99.9","52"
"Slovenia","2002","99.8","52"
"Slovenia","2001","99.9","52"
"Solomon Islands","2007","85.5","47"
"Somalia","2006","33","221"
"Somalia","2002","24.8","9"
"South Africa","2008","94.3","222"
"South Africa","2003","91.2","223"
"South Asia","2012","51.0409621002634","24"
"Sri Lanka","2007","98.6","224"
"St. Kitts and Nevis","2013","100","15"
"St. Kitts and Nevis","2012","100","115"
"St. Kitts and Nevis","2008","100","84"
"St. Kitts and Nevis","2007","100","3"
"St. Kitts and Nevis","2005","100","19"
"St. Kitts and Nevis","2004","100","20"
"St. Kitts and Nevis","2002","99.5","21"
"St. Lucia","2012","98.7","50"
"St. Lucia","2010","98.5","115"
"St. Lucia","2007","100","84"
"St. Lucia","2006","97.9","18"
"St. Lucia","2005","100","19"
"St. Lucia","2004","100","20"
"St. Lucia","2003","99","49"
"St. Lucia","2002","98","21"
"St. Vincent and the Grenadines","2013","99","15"
"St. Vincent and the Grenadines","2012","99.2","115"
"St. Vincent and the Grenadines","2008","99.2","84"
"St. Vincent and the Grenadines","2007","100","17"
"St. Vincent and the Grenadines","2005","100","19"
"St. Vincent and the Grenadines","2002","100","21"
"St. Vincent and the Grenadines","2001","100","23"
"Sub-Saharan Africa (all income levels)","2012","49.9552181821626","24"
"Sub-Saharan Africa (developing only)","2012","49.9552181821626","24"
"Sudan","2010","23.1","225"
"Sudan","2006","28.8","226"
"Suriname","2010","91.2","83"
"Suriname","2006","89.8","11"
"Suriname","2004","90","227"
"Suriname","2002","90","21"
"Swaziland","2014","88.3","80"
"Swaziland","2010","82","63"
"Swaziland","2007","74.3","199"
"Swaziland","2002","74","9"
"Switzerland","2006","100","228"
"Syrian Arab Republic","2009","96.2","229"
"Syrian Arab Republic","2006","93","11"
"Syrian Arab Republic","2004","89.7","43"
"Tajikistan","2012","86.4","97"
"Tajikistan","2010","87.7","54"
"Tajikistan","2009","83","77"
"Tajikistan","2007","88.4","17"
"Tajikistan","2005","83.4","8"
"Tanzania","2012","42.6","230"
"Tanzania","2010","47.6","2"
"Tanzania","2005","45.1","231"
"Thailand","2012","99.6","50"
"Thailand","2009","99.5","55"
"Thailand","2006","97.3","129"
"Timor-Leste","2010","29.9","232"
"Timor-Leste","2003","18.4","223"
"Timor-Leste","2002","23.7","233"
"Togo","2014","44.6","98"
"Togo","2010","59.4","63"
"Togo","2006","62","11"
"Togo","2003","60.8","49"
"Tonga","2012","97.9","97"
"Tonga","2010","98.4","234"
"Tonga","2008","98","126"
"Tonga","2004","98","235"
"Tonga","2001","95","88"
"Trinidad and Tobago","2013","100","15"
"Trinidad and Tobago","2012","100","115"
"Trinidad and Tobago","2006","97.8","11"
"Trinidad and Tobago","2004","99.6","140"
"Trinidad and Tobago","2003","99.7","227"
"Trinidad and Tobago","2002","96.6","37"
"Trinidad and Tobago","2001","99.5","57"
"Tunisia","2012","98.6","69"
"Tunisia","2006","94.6","11"
"Turkey","2013","97.4","236"
"Turkey","2009","95","237"
"Turkey","2008","91.3","238"
"Turkey","2007","89.3","237"
"Turkey","2003","83","223"
"Turkmenistan","2006","99.5","221"
"Turkmenistan","2005","99.7","7"
"Turkmenistan","2004","98.5","7"
"Turkmenistan","2003","99.5","7"
"Turkmenistan","2002","97.2","7"
"Turks and Caicos Islands","2006","100","239"
"Turks and Caicos Islands","2005","99.1","163"
"Turks and Caicos Islands","2004","100","141"
"Tuvalu","2007","97.9","47"
"Tuvalu","2002","100","9"
"Uganda","2011","58","38"
"Uganda","2006","41.9","40"
"Uganda","2001","36.9","184"
"Ukraine","2012","99","50"
"Ukraine","2010","99.9","39"
"Ukraine","2007","98.7","47"
"Ukraine","2006","99.9","7"
"Ukraine","2005","99.8","8"
"Ukraine","2004","99.9","7"
"Ukraine","2003","99.9","49"
"Ukraine","2002","99.9","7"
"Ukraine","2001","99.9","7"
"United Arab Emirates","2008","100","170"
"United Arab Emirates","2003","100","43"
"United States","2010","99.2","15"
"United States","2003","99.3","37"
"Upper middle income","2012","98.1777569169864","24"
"Uruguay","2013","98.2","240"
"Uruguay","2012","99.5","115"
"Uruguay","2009","99.7","241"
"Uruguay","2004","99.3","37"
"Uzbekistan","2006","99.9","221"
"Vanuatu","2013","89.4","112"
"Vanuatu","2007","74","242"
"Vanuatu","2003","88","127"
"Venezuela, RB","2012","96","243"
"Venezuela, RB","2003","95","49"
"Vietnam","2014","93.8","175"
"Vietnam","2011","92.9","244"
"Vietnam","2006","87.7","11"
"Vietnam","2002","85","245"
"Virgin Islands (U.S.)","2003","98.5","37"
"Virgin Islands (U.S.)","2002","98.3","246"
"West Bank and Gaza","2014","99.6","58"
"West Bank and Gaza","2010","99","54"
"West Bank and Gaza","2006","98.9","247"
"West Bank and Gaza","2005","97","248"
"West Bank and Gaza","2004","98.3","213"
"World","2012","70.0609017611748","24"
"Yemen, Rep.","2013","44.7","112"
"Yemen, Rep.","2006","35.7","11"
"Yemen, Rep.","2003","26.8","65"
"Zambia","2014","64.2","98"
"Zambia","2007","45.4","47"
"Zambia","2002","42.3","249"
"Zimbabwe","2014","80","105"
"Zimbabwe","2011","66.2","219"
"Zimbabwe","2009","60.2","250"
"Zimbabwe","2006","68.5","142"

"footnoteSeqID","Footnote"
"1","Source: MICS 2010-2011"
"2","Source: DHS 2010"
"3","Source: National survey  2008 (other than DHS, MICS, and Ministry of Health)"
"4","Afghanistan Household Survey"
"5","Source: MICS  2003"
"6","Source: DHS 2008-09"
"7","TransMONEE database 2010, Table 6.1"
"8","Source: MICS  2005"
"9","Source: National survey  2002 (other than DHS, MICS, and Ministry of Health)"
"10","Source: MICS 2012-2013"
"11","Source: MICS  2006"
"12","Statistic tables 2006. WHO regional office for the western pacific."
"13","Source: MIS 2006-07"
"14","MICS 2001, Reanalyzed by UNICEF HQ, Oct.2002"
"15","Source: Health Situation in the Americas: Basic Indicators"
"16","Source: National survey 2013 (other than DHS, MICS, and Ministry of Health)"
"17","Source: National survey  2007 (other than DHS, MICS, and Ministry of Health)"
"18","Source: National survey  2006 (other than DHS, MICS, and Ministry of Health)"
"19","Source: National survey  2005 (other than DHS, MICS, and Ministry of Health)"
"20","Source: National survey  2004 (other than DHS, MICS, and Ministry of Health)"
"21","Pan American Health Organization. Report from Ministry of Health transmitted to Area of Health Analysis and Information Systems (AIS) by PAHO/WHO Country Representative (PWR). 2004"
"22","Pan American Health Organization. Report from Ministry of Health transmitted to Area of Health Analysis and Information Systems (AIS) by PAHO/WHO Country Representative (PWR). 2003"
"23","Source: National survey  2001 (other than DHS, MICS, and Ministry of Health)"
"24","Aggregation based on most recent available country-level data (2008-)."
"25","Source: Ministerio de Salud de la Nación. Estadísticas vitales. Información básica año 2013. 2013"
"26","Source: Ministry of Health 2012"
"27","Source: Ministry of Health 2011"
"28","Source: Ministry of Health 2010"
"29","Source: Ministry of Health  2008"
"30","Source: Ministry of Health  2007"
"31","Source: Ministry of Health  2006"
"32","Source: Ministry of Health  2005"
"33","Argentina Estadisticas Vitales. Informacion Basica 2004.. Exclude "comadre", includes "Partera""
"34","Source: Ministry of Health  2003"
"35","Source: Ministry of Health  2002"
"36","Source: DHS 2005"
"37","Health situation in the americas. Basic  indicators 2006. PAHO"
"38","Source: DHS 2011"
"39","Source: National survey 2012 (other than DHS, MICS, and Ministry of Health)"
"40","Source: DHS 2006"
"41","Health Situation in the Americas, Basic Indicators 2002, PAHO/WHO."
"42","Source: MDGs Progress 2010 2010"
"43","Making pregnancy safer statistics in the Eastern Mediterranean Region 2005. WHO regional office for the Eastern Mediterranian"
"44","Source: DHS Key Indicators 2014"
"45","Source: National survey (Prelim)  2011 (other than DHS, MICS, and Ministry of Health)"
"46","MICS, BBS-UNICEF 2010, Technical Report, Table 5, pages 86-88"
"47","Source: DHS 2007"
"48","Source: DHS 2004"
"49","Source: National survey  2003 (other than DHS, MICS, and Ministry of Health)"
"50","Source: MICS 2012"
"51","Source: National survey  2011 (other than DHS, MICS, and Ministry of Health)"
"52","Source: National survey  2010 (other than DHS, MICS, and Ministry of Health)"
"53","Source: MICS 2011"
"54","Source: National survey 2010 (other than DHS, MICS, and Ministry of Health)"
"55","Source: National survey 2009 (other than DHS, MICS, and Ministry of Health)"
"56","Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO."
"57","Pan American Health Organization. Report from Ministry of Health transmitted to Area of Health Analysis and Information Systems (AIS) by PAHO/WHO Country Representative (PWR). 2005"
"58","Source: MICS Key Findings Report(Prelim) 2014"
"59","Source: DHS 2011-12"
"60","Country Data, APR"
"61","Source: DHS 2001"
"62","Source: National Health Survey 2012"
"63","Source: MICS  2010"
"64","Source: National survey 2007 (other than DHS, MICS, and Ministry of Health)"
"65","Source: National survey 2003 (other than DHS, MICS, and Ministry of Health)"
"66","Source: Encuesta de Evaluación de Salud y Nutrición 2012, Informe de Resultados 2012"
"67","Source: DHS 2008"
"68","Source: DHS 2003"
"69","Source: MICS 2011-2012"
"70","Source: Botswana Family Health Survey IV Report  2007"
"71","Source: MoH SINASC 2012"
"72","Source: Ministry of Health  2011"
"73","Indicadores e Dados Básicos 2003, Ministry of Health, Table F.7."
"74","Source: Ministry of Health 2009"
"75","Country Data "
"76","Source: TransMonEE 2013 2014"
"77","TransMONEE database 2011, Table 6.1"
"78","Source: DHS 2014"
"79","Cambodia MoH, Joint Annual Performance review 2013"
"80","Source: MICS Key Findings Report 2014"
"81","Source: National survey  2006-2007 (other than DHS, MICS, and Ministry of Health)"
"82","Health situation in the americas. Basic  indicators 2006. PAHO, Data are for 2003-04"
"83","Source: MICS 2010"
"84","Source: National survey  2009 (other than DHS, MICS, and Ministry of Health)"
"85","Source: DHS KIR 2014-15 2014-2015"
"86","Source: INE. Estadísticas Vitales. Anuario de estadísticas vitales 2012 2012"
"87","Departamento de Estadísticas e Información de la Salud, Ministry of Health, 2002."
"88","Source: Ministry of Health  2001"
"89","Source: NHFPC, China Statistical Yearbook for Health and Family Planning 2014"
"90","Source: Ministry of Health  2013"
"91","Source: Ministry of Health  2012"
"92","Source: Ministry of Health  2010"
"93","Source: Ministry of Health  2004"
"94","Source: Departamento Administrativo Nacional de Estadística - DANE -(Prelim) 2014"
"95","Source: National survey 12 (other than DHS, MICS, and Ministry of Health)"
"96","Source: National survey 11 (other than DHS, MICS, and Ministry of Health)"
"97","Source: DHS 2012"
"98","Source: DHS 2013-14"
"99","Source: MICS  2001"
"100","Source: DHS 2011-12 (Reanalyzed)"
"101","Source: National survey  2009-2010 (other than DHS, MICS, and Ministry of Health)"
"102","Source: AIS 2005"
"103","Source: National survey  2003-2004 (other than DHS, MICS, and Ministry of Health)"
"104","Source: Monee database CRO 2011-2012"
"105","Source: MICS 2014"
"106","Source: National survey  2012 (other than DHS, MICS, and Ministry of Health)"
"107","Source: National survey  2010-2011 (other than DHS, MICS, and Ministry of Health)"
"108","European Health for all Database. WHO regional office for Europe, March 2007"
"109","Source: Transmonee database 2012"
"110","Source: EDSF-PAPFAM 2012-Djibouti(Prelim) 2012"
"111","Source: MICS (Prelim) 2014"
"112","Source: DHS 2013"
"113","Source: DHS 2002"
"114","Source: INEC Living Standards Measurement Survey 2013-2014"
"115","Source: National survey  2013 (other than DHS, MICS, and Ministry of Health)"
"116","Source: MICS and MDG indicators(Prelim) 2014"
"117","Source: National survey  2013-2014 (other than DHS, MICS, and Ministry of Health)"
"118","Source: National survey  2002-2003 (other than DHS, MICS, and Ministry of Health)"
"119","Source: Eritrean Population and Health Survey 2010"
"120","Source: National survey (other than DHS and MICS) 2006"
"121","Source: Health and Health Related Indicators 2005 E.C (2012/2013)"
"122","Source: DHS  2005"
"123","Source: National Immunisation Coverage Survey 2013"
"124","Source: Ministry of Health 2012- 2013"
"125","Source: Ministry of Health 2010- 2011"
"126","Source: National survey  2002-2008 (other than DHS, MICS, and Ministry of Health)"
"127","Pacific Islands Regional Millennium Development Goals Report 2004, Table A.5 Goal 5, MDGI 17."
"128","World Health Report 2003, WHO."
"129","Source: MICS  2005-2006"
"130","Source: NCDC Statistical Yearbook 2012-2013"
"131","Source: National survey 2011-2012 (other than DHS, MICS, and Ministry of Health)"
"132","Statisches Bundesamt. February 2007. Estimate"
"133","Source: MICS  2011"
"134","Core indicators 2005. Health Situation in the South East Asia and Western pacific Regions. WHO regional office."
"135","Source: Estadisticas Vitales 2013(Reanalyzed) 2013"
"136","Source: National survey  2008-2009 (other than DHS, MICS, and Ministry of Health)"
"137","Source: DHS 2009"
"138","Source: MICS  2006-2007"
"139","MICS 2006, Analyzed by UNICEF, NY July 2009"
"140","Pan American Health Organization. Report from Ministry of Health provided by the PAHO/WHO Country Representative to the Health Information and Statistics Unit (HA) of PAHO. 2008"
"141","Health Situation in the Americas, Basic Indicators 2006, PAHO/WHO"
"142","Source: DHS 2005-06"
"143","Source: DLHS 2007-2008"
"144","Source: DHS 2012 (Final Report p.121)"
"145","Country data. National Health Survey (2010 Riskesdas)."
"146","BPS, SUSENAS 2008, Table 4.7.B., pp. 59-61"
"147","Source: DHS 2007 (Final Report p.137)"
"148","National Socio-Economic Survey 2004, Table 2.6.B, p. 78."
"149","Source: DHS 2002-03 (Final Report p.238)"
"150","Source: MICS/DHS(Prelim)  2010-2011"
"151","Source: MICS/ DHS (Prelim) 2010-2011"
"152","Source: Ministry of Health  2005-2007"
"153","Source: National survey (other than DHS and MICS) 2003"
"154","Ireland Ministry of Health. Information obtained through country consultation by the evidence and information for policy cluster. WHO 2003"
"155","Certificato di assistanza al parto. Analisi dell' evento nascita 2003. Institutional birth"
"156","Source: RHS 2008"
"157","Annual Report 2003, Ministry of Health, p. 53 and Table C.11, p. 123."
"158","Statistic tables 2006. WHO regional office for the western pacific.. Institutional birth"
"159","Source: National survey  2004-2005 (other than DHS, MICS, and Ministry of Health)"
"160","Source: MICS 2009"
"161","Republic of Korea Country Health information Profile 2006 Revision. WHO regional office for the Western pacific citing the National Fertility and Family Health Survey 2003."
"162","Source: National survey (other than DHS and MICS) 2009"
"163","TransMONEE database 2007 Preliminary data"
"164","Source: Lao Social Indicator Survey (LSIS) 2011-2012"
"165","Country data. NHSR10."
"166","Source: RHS  2005"
"167","MICS 2000, Reanalyzed by UNICEF HQ, June 2003."
"168","Source: Family health survey 2004"
"169","Source: DHS (Prelim) 2014-2015"
"170","Source: National survey (other than DHS and MICS) 2008"
"171","Source: Ministere de la Sante. CRP-Sante- Centre d'Etudes en Sante. Luxembourg 2001-2003"
"172","MICS 2005, Table RH.5, p 91"
"173","Source: ENSOMD 2012-2013"
"174","Source: DHS 2003-04"
"175","Source: MICS 2013-2014"
"176","Source: Health Indicators 2014: Indicators for Monitoring and Evaluation of Strategy Health for All 2014"
"177","Source: Ministry of Health (Prelim)  2003"
"178","Source: Health and Statistics, MOH 2012"
"179","Source: DHS 2012-13"
"180","Department of Health Information (personal communication March 2007) WHO. estimate"
"181","Source: WHO Western Pacific Country Health Information Profiles 2010"
"182","Source: DHS  2007"
"183","Source: MICS 2007"
"184","Source: DHS 2000-01"
"185","Republic of Mauritius Millennium Development Goal Indicators 2005. Country profile.. Institution birth"
"186","Source: Ministry of Health 2003"
"187","Source: ODM website 2012"
"188","Informe de Gobierno Anexo Estadistico 2004, Presidencia de la República, p. 87."
"189","Source: Western Pacific Country Healtn Information Profiles 2011"
"190","A measure of the future. Women's Sexual and Reproductive Risk Index for the Pacific 2009"
"191","Source: MICS(Reanalyzed) 2012"
"192","Source: RHS  2008"
"193","Source: RHS  2003"
"194","Source: MICS 2013"
"195","Source: ENPSF 2011"
"196","Source: MICS  2008"
"197","Source: MICS 2009-2010"
"198","Myanmar Millennium Development Goals Report 2005. citing the Fertility Reproductive health Survey 2003."
"199","Source: DHS 2006-07"
"200","Source: MICS Key Findings 2014"
"201","Perinatale Zorg in Nederland 2003."
"202","Source: ENDESA(Prelim) 2011-2012"
"203","Source: DHS  2006-2007"
"204","Source: Social and Living Standards Measurement Survey 2011-12"
"205","Source: National survey (Prelim)  2010-2011 (other than DHS, MICS, and Ministry of Health)"
"206","Source: National survey  2001-2002 (other than DHS, MICS, and Ministry of Health)"
"207","Reproductive Health and Family Planning Survey 2000-01, National Institute of Population Studies, Table 3.4, pp. 24-25."
"208","Source: WHO Western Pacific Country Health Information Profile 2011"
"209","Source: MICS Resultados principales 2013"
"210","Tracking development and governance in the Pacific 2009 AusAID, based on SPC (http://www.spc.int/prism/)"
"211","Source: DHS 2007-08"
"212","Source: DHS 2004-06"
"213","Source: DHS  2004"
"214","Source: National survey 2011 (other than DHS, MICS, and Ministry of Health)"
"215","Source: National survey (other than DHS and MICS) 2005"
"216","Elementos Estatisticos. Informacao Geral. Saude 2001."
"217","Source: DHS  2009"
"218","Ministry of Health, Department of Reproductive Health, 2003."
"219","Source: DHS 2010-11"
"220","Source: TransMONEE database 2010"
"221","Source: MICS 2006"
"222","Source: South African National HIV Prevalence, Incidence, Behaviour and Communication Survey, 2008: The health of our children 2008"
"223","Source: DHS  2003"
"224","Source: DHS 2006-2007"
"225","Source: SHHS revised 2010"
"226","Source: SHHS  2006"
"227","Pan American Health Organization. Report from Ministry of Health provided to the Health Analysis and Statistics Unit (HA) by PAHO/WHO Country Representative (PWR). 2007"
"228","Bundesamit fur Statistik SG. Personal communication February 2007. Estimate"
"229","Source: PAPFAM - Syrian Household Health Survey 2010"
"230","Source: AIS 2011-12"
"231","Source: DHS 2004-05"
"232","Source: DHS 2009-10"
"233","Source: MICS  2002"
"234","Source: WHO 2011"
"235","Statistic tables 2006. WHO regional office for the western pacific.. institutinal birth"
"236","Source: TDHS-HU-NEE(Prelim) 2013"
"237","Country data. TURKSTAT (Turkish National Statistics Office)"
"238","Source: DHS  2008"
"239","Health Situation in the Americas, Basic Indicators 2007, PAHO/WHO"
"240","Source: MICS(Prelim) 2012-2013"
"241","Source: National survey 2012-2013 (other than DHS, MICS, and Ministry of Health)"
"242","Source: MICS  2007"
"243","Source: INE Sistema de Consulta de Estadisticas Vitales 2012"
"244","Source: MICS  2010-2011"
"245","Source: DHS  2002"
"246","DHS2002 "
"247","Source: National survey (Prelim)  2006 (other than DHS, MICS, and Ministry of Health)"
"248","Health Indicators 2005. State of Palestine."
"249","Source: DHS 2001-02"
"250","Source: MIMS(MICS)  2009"
